YYYY,MM,DD,latitude,longitude,depth,mag,magType
2020,6,3,24.8316,91.1391,30.48,4.2,mb
2020,5,30,27.8896,84.8784,10,4.3,mb
2020,5,28,32.5421,79.491,10,4.4,mb
2020,5,22,32.8636,85.5107,10,4.6,mb
2020,5,22,32.78,85.4493,10,4.3,mb
2020,5,12,27.7046,86.0378,10,4.9,mb
2020,5,3,32.9792,85.6089,10,4.1,mb
2020,4,30,32.2161,89.5179,10,4.3,mb
2020,4,8,23.4203,86.989,10,4,mb
2020,4,4,32.6292,85.4271,10,4.4,mb
2020,4,3,32.6775,85.4882,10,4.8,mb
2020,3,25,34.4893,85.8489,10,4.3,mb
2020,3,24,28.6107,87.2197,10,4,mb
2020,3,20,28.5896,87.3081,10,5.7,mww
2020,3,17,34.5391,85.8363,10,4.6,mb
2020,3,15,32.7903,85.6582,10,4.4,mb
2020,3,15,32.6753,85.455,10,4.2,mb
2020,3,15,28.2184,83.5923,10,4.3,mb
2020,3,12,32.7152,85.3323,10,5.4,mww
2020,3,11,32.568,78.4627,10,4,mb
2020,3,10,32.87,85.3938,10,4.1,mb
2020,3,9,32.7852,85.5166,10,4.2,mb
2020,3,9,32.8006,85.5456,10,5.2,mww
2020,3,8,32.7173,85.4732,10,4.2,mb
2020,2,25,24.5467,90.1767,10,4,mb
2020,2,20,34.5533,85.7767,10,4.6,mb
2020,2,20,34.5182,85.6961,10,5.1,mb
2020,2,8,26.3386,90.7847,10,5,mb
2020,2,8,30.0278,79.9831,18.78,4.7,mb
2020,1,29,28.7675,91.7966,10,4.5,mb
2020,1,27,24.7732,91.7364,10,4.5,mb
2020,1,12,29.4841,81.5921,10,4.3,mb
2020,1,12,29.4848,81.705,10,4.4,mb
2020,1,5,30.3664,85.5587,10,4.3,mb
2020,1,5,29.9815,85.4049,10,4.4,mb
2019,12,19,34.6953,79.7421,10,4.5,mb
2019,12,19,32.4723,86.9509,10,4.9,mb
2019,12,12,27.9194,85.7168,10,4.2,mb
2019,11,28,30.4965,84.2884,15.1,4.6,mb
2019,11,27,27.7986,85.8214,10,4.6,mb
2019,11,27,28.1658,87.8728,64.65,4.4,mb
2019,11,21,26.145,91.1372,48.16,4.3,mb
2019,11,19,29.3228,81.1433,10,5,mww
2019,11,12,30.0659,80.2927,10,4.3,mb
2019,10,26,30.5449,87.3847,10.44,4,mb
2019,10,21,33.4696,81.4093,10,4,mb
2019,10,7,27.293,91.3145,10,4.7,mb
2019,9,28,30.026,81.5319,10,4.4,mb
2019,9,26,28.0869,84.4371,10,4.4,mb
2019,9,22,28.4605,84.3309,18.23,4.5,mb
2019,9,16,29.691,80.7419,10,4.5,mb
2019,8,27,28.9012,86.4476,10,4.5,mb
2019,8,24,30.6928,87.8718,10,4.1,mb
2019,8,20,33.759,86.9172,10,4.1,mb
2019,8,9,28.4321,83.3273,10,4.4,mb
2019,7,28,22.5443,86.4405,10,4.5,mb
2019,7,15,31.7644,91.1874,11.93,4.9,mb
2019,6,29,33.6308,82.5671,10,4.6,mb
2019,6,17,28.4217,87.173,84.75,4.6,mb
2019,5,31,34.4841,82.9807,10,4.3,mb
2019,5,26,23.2123,86.8925,10,4.7,mb
2019,5,26,30.3347,87.5686,10,4.8,mb
2019,5,26,30.3288,87.661,10,4.7,mb
2019,5,25,29.5741,81.4056,49.39,4,mb
2019,5,25,27.6468,86.3425,10,4.5,mb
2019,5,17,27.9487,84.7453,10,4.7,mb
2019,5,11,28.8684,81.5715,31.28,4.5,mb
2019,4,30,29.533,85.3709,10,4.2,mb
2019,4,29,33.5157,81.5138,15.73,4.5,mb
2019,4,29,32.0014,83.7165,10,4,mb
2019,4,28,33.8735,90.5537,10,4.1,mb
2019,4,24,34.8762,82.5526,10,4.5,mb
2019,4,24,27.7651,85.0667,27.34,4.7,mb
2019,4,14,29.5192,81.2864,10,4,mb
2019,4,14,32.3783,89.2588,10,4.5,mb
2019,4,12,30.1742,87.4938,10,4.5,mb
2019,3,21,25.6452,90.9083,10,4.4,mb
2019,3,6,30.1682,87.368,10,4.1,mb
2019,2,7,29.2915,87.2699,10,4.2,mb
2019,2,6,29.2611,87.2216,10,4.1,mb
2019,1,22,27.2579,86.9202,10,4.3,mb
2019,1,20,30.3859,87.6754,9.97,4.7,mb
2019,1,20,30.3908,87.6229,9.85,5.2,mb
2019,1,14,32.965,87.1476,10,4.2,mb
2019,1,10,34.3645,78.2373,34.51,4.6,mb
2019,1,6,34.2031,78.0505,10,4.3,mb
2018,12,24,30.2227,87.4245,10,4.2,mb
2018,12,23,30.1798,87.4547,10,4.9,mb
2018,12,23,30.4684,86.7946,10,5,mb
2018,12,23,30.4079,87.62,10,5.8,mww
2018,12,22,27.7764,85.5548,10,4.1,mb
2018,11,28,30.488,87.8361,10,4.1,mb
2018,11,20,34.064,83.9403,10,4.4,mb
2018,11,14,34.0148,83.9006,11.97,4.5,mb
2018,11,13,33.5889,89.2206,10,4.1,mb
2018,11,11,29.9248,80.6472,10,4.5,mb
2018,11,7,30.5052,87.9351,10,4.4,mb
2018,11,6,32.8748,90.3241,10,4.7,mb
2018,11,4,33.5619,89.3679,6.95,4.5,mb
2018,11,2,34.1017,83.9207,14.92,4.6,mb
2018,10,31,30.2891,87.4647,10,5,mb
2018,10,31,30.3789,87.6483,10,4.7,mb
2018,10,29,34.0313,77.9427,10,4.1,mb
2018,10,29,34.3492,78.1903,10,4.5,mb
2018,10,29,34.2342,78.1243,10,4.9,mww
2018,10,29,34.2929,78.0838,10,4.6,mb
2018,10,22,30.4664,87.7783,13.83,4.8,mb
2018,10,22,30.2176,87.6309,11.42,4.5,mb
2018,10,22,34.1808,83.9736,10,4,mb
2018,10,18,33.5346,89.2072,10,4.7,mb
2018,10,17,33.5233,89.2541,10,4.2,mb
2018,10,16,32.8584,90.1185,10,4.4,mb
2018,10,14,34.1705,84.0333,10,4.6,mb
2018,10,6,33.5319,89.2661,10,4.3,mb
2018,10,5,28.7099,81.4792,10,4.3,mb
2018,10,5,28.874,81.5789,10,4.4,mb
2018,10,2,34.0874,83.8895,10,4.6,mb
2018,9,27,34.2169,80.6903,10,5,mww
2018,9,25,26.0547,90.8859,10,4.4,mb
2018,9,12,26.3711,90.1611,10,5.3,mww
2018,9,1,23.4903,82.446,10,4.7,mb
2018,8,29,34.0721,83.905,10,4.1,mb
2018,8,28,22.6926,87.7938,10,4.5,mb
2018,8,21,34.432,81.3792,10,4.3,mb
2018,8,19,33.1511,88.8284,26.62,4.8,mb
2018,8,4,35.0467,81.0371,10,5.1,mb
2018,8,1,30.3493,87.6027,10,5.2,mww
2018,8,1,30.4062,87.4905,10,4.3,mb
2018,7,30,29.4195,90.341,19.98,4,mb
2018,7,21,34.9676,80.996,10,4.6,mb
2018,7,7,31.8069,83.7746,10,4.4,mb
2018,6,28,27.8919,84.8272,10,4.8,mb
2018,6,28,30.3943,87.5273,10,4.2,mb
2018,6,20,27.1508,87.8133,52.91,4.4,mb
2018,6,20,26.9633,87.505,38.3,4.4,mb
2018,6,17,27.4201,88.4739,49.76,4.4,mb
2018,6,14,30.8612,78.2815,10,4.4,mb
2018,6,8,34.0033,89.3233,10,4.2,mb
2018,6,7,34.2276,78.0514,10,4.4,mb
2018,6,6,30.7553,78.9228,10,4.5,mb
2018,6,5,29.6464,81.6777,10,4.7,mb
2018,5,24,33.9885,89.2958,10,4.2,mb
2018,5,21,31.7412,78.4799,10,4.5,mb
2018,5,10,28.4517,87.421,4.66,4.4,mb
2018,5,8,28.0604,87.4282,32.61,4,mb
2018,5,7,33.1142,90.5869,35,4.2,mb
2018,4,19,31.2589,80.4048,29.83,4,mb
2018,4,12,31.4116,80.6072,10,4.1,mb
2018,4,10,24.1313,82.5522,10,4.6,mb
2018,3,31,33.0398,90.4011,10,4.1,mb
2018,3,21,26.3137,89.9018,10,4,mb
2018,3,20,32.4758,83.6076,32.75,4.4,mb
2018,3,1,30.362,87.6339,11.41,4.9,mb
2018,2,28,30.3194,87.3792,10,4,mb
2018,2,14,34.8817,86.9413,10,4.7,mb
2018,2,11,30.4816,87.4907,12.07,4.2,mb
2018,2,9,32.4809,89.6565,35,4.2,mb
2018,2,8,30.3854,87.8193,10,4.2,mb
2018,1,30,24.5706,89.5825,16.25,4.4,mb
2018,1,25,33.1624,83.1998,10,4,mb
2018,1,20,26.1323,89.8746,11.47,4.5,mb
2018,1,17,34.99,86.9597,10,5.1,mb
2017,12,31,34.0591,87.0347,15.81,4.5,mb
2017,12,18,34.2946,83.3414,15.22,4.1,mb
2017,12,11,25.725,90.8605,10,4.6,mb
2017,12,10,34.3183,78.5677,35.55,4.6,mb
2017,12,8,27.7618,86.1471,10,5,mb
2017,12,6,30.6339,79.1601,10,5.1,mb
2017,12,2,27.2856,88.0806,10,4.2,mb
2017,11,8,24.0923,91.2855,29.51,4.9,mb
2017,11,7,30.2645,87.4355,9.83,4.6,mb
2017,11,6,29.6127,81.2918,10,4.6,mb
2017,10,6,30.0189,86.7671,10,4.4,mb
2017,9,29,33.9698,90.3978,10,4.2,mb
2017,9,7,25.275,90.2279,36.67,4.1,mb
2017,9,2,34.014,83.4386,10,4.6,mb
2017,9,1,32.0662,82.6488,10,4.8,mb
2017,8,22,29.3871,81.1558,10,4.6,mb
2017,8,21,27.5881,86.1237,10,4.5,mb
2017,7,25,23.3761,90.7422,10,4.4,mb
2017,7,15,30.6609,82.7985,51.53,4.6,mb
2017,7,15,28.8507,81.6418,27.7,4.3,mb
2017,7,2,27.2384,86.1159,10,4.8,mb
2017,6,13,33.616,91.076,35,4.8,mb
2017,6,8,33.772,91.116,62.21,4,mb
2017,6,8,33.615,91.0601,10,4.6,mb
2017,5,24,33.5188,88.9596,10,4.2,mb
2017,5,24,27.5189,90.1818,28.39,4.4,mb
2017,5,16,27.3266,88.1714,10,4.2,mb
2017,5,7,33.8033,89.2006,10,4.4,mb
2017,4,27,29.2836,86.0168,8,4.4,mb
2017,4,25,25.6263,90.8833,31.19,4.3,mb
2017,4,24,29.6836,81.3034,18.73,4.3,mb
2017,4,18,25.0632,91.6394,34.06,4.5,mb
2017,3,28,33.6425,90.9632,30.25,4.2,mb
2017,3,26,30.5998,83.6889,34.76,4.2,mb
2017,3,26,27.1419,88.5534,24.39,4.5,mb
2017,3,7,26.9162,89.1143,10,4,mb
